shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
S10008,45.505467,-73.758315,60062,13.592
S10008,45.505677,-73.757743,60063,13.643
S10008,45.505748,-73.757548,60064,13.660
S10008,45.508880,-73.749084,60065,14.407
S10008,45.508929,-73.748951,60066,14.419
S10008,45.509161,-73.748312,60067,14.475
S10008,45.509176,-73.748269,60068,14.479
S10008,45.510390,-73.744878,60069,14.776
S10008,45.510600,-73.744282,60070,14.828
S10008,45.510806,-73.743685,60071,14.880
S10008,45.511058,-73.742944,60072,14.944
S10008,45.511263,-73.742346,60073,14.996
S10008,45.511473,-73.741752,60074,15.048
S10008,45.512323,-73.739246,60075,15.266
S10008,45.514815,-73.732411,60076,15.867
S10008,45.514815,-73.732411,60077,15.867
S10008,45.514995,-73.731901,60078,15.912
S10008,45.515172,-73.731389,60079,15.957
S10008,45.515201,-73.731304,60080,15.964
S10008,45.515297,-73.731023,60081,15.988
S10008,45.515458,-73.730553,60082,16.029
S10008,45.515458,-73.730553,60083,16.029
S10008,45.515486,-73.730471,60084,16.036
S10008,45.515600,-73.730142,60085,16.065
S10008,45.515743,-73.729735,60086,16.100
S10008,45.515859,-73.729407,60087,16.129
S10008,45.516006,-73.729001,60088,16.165
S10008,45.516152,-73.728595,60089,16.200
S10008,45.516505,-73.727610,60090,16.287
S10008,45.516675,-73.727140,60091,16.328
S10008,45.516844,-73.726670,60092,16.369
S10008,45.517013,-73.726201,60093,16.411
S10008,45.517181,-73.725730,60094,16.452
S10008,45.517351,-73.725260,60095,16.493
S10008,45.517520,-73.724790,60096,16.534
S10008,45.517689,-73.724319,60097,16.576
S10008,45.517857,-73.723850,60098,16.617
S10008,45.518154,-73.723024,60099,16.689
S10008,45.518256,-73.722739,60100,16.714
S10008,45.518359,-73.722454,60101,16.739
S10008,45.518462,-73.722169,60102,16.764
S10008,45.518564,-73.721884,60103,16.789
S10008,45.520406,-73.716759,60104,17.239
S10008,45.520584,-73.716269,60105,17.282
S10008,45.520765,-73.715782,60106,17.325
S10008,45.521353,-73.714211,60107,17.464
S10008,45.521522,-73.713755,60108,17.504
S10008,45.521688,-73.713298,60109,17.544
S10008,45.521979,-73.712492,60110,17.615
S10008,45.521979,-73.712492,70001,17.615
S10008,45.522269,-73.711686,70002,17.686
S10008,45.522445,-73.711202,70003,17.729
S10008,45.522624,-73.710720,70004,17.771
S10008,45.522885,-73.710027,70005,17.833
S10008,45.523064,-73.709545,70006,17.875
S10008,45.523240,-73.709061,70007,17.918
S10008,45.523825,-73.707436,70008,18.060
S10008,45.524236,-73.706297,70009,18.160
S10008,45.525630,-73.702425,70010,18.500
S10008,45.525649,-73.702376,70011,18.505
S10008,45.525843,-73.701827,70012,18.553
S10008,45.526035,-73.701276,70013,18.601
S10008,45.526112,-73.701051,70014,18.620
S10008,45.526328,-73.700422,70015,18.675
S10008,45.526365,-73.700314,70016,18.684
S10008,45.526556,-73.699763,70017,18.732
S10008,45.526751,-73.699216,70018,18.780
S10008,45.526950,-73.698663,70019,18.829
S10008,45.527150,-73.698109,70020,18.877
S10008,45.527349,-73.697557,70021,18.926
S10008,45.527548,-73.697003,70022,18.974
S10008,45.527650,-73.696718,70023,18.999
S10008,45.527750,-73.696431,70024,19.024
S10008,45.527879,-73.696046,70025,19.058
S10008,45.527999,-73.695668,70026,19.090
S10008,45.528113,-73.695284,70027,19.122
S10008,45.528221,-73.694898,70028,19.155
S10008,45.528322,-73.694508,70029,19.188
S10008,45.528411,-73.694139,70030,19.218
S10008,45.528495,-73.693769,70031,19.248
S10008,45.528574,-73.693395,70032,19.279
S10008,45.528647,-73.693019,70033,19.309
S10008,45.528715,-73.692641,70034,19.340
S10008,45.528719,-73.692616,70035,19.342
S10008,45.528723,-73.692591,70036,19.344
S10008,45.528728,-73.692566,70037,19.346
S10008,45.528731,-73.692542,70038,19.348
S10008,45.528736,-73.692516,70039,19.350
S10008,45.528739,-73.692492,70040,19.352
S10008,45.528744,-73.692466,70041,19.354
S10008,45.528748,-73.692442,70042,19.356
S10008,45.528751,-73.692416,70043,19.358
S10008,45.528756,-73.692392,70044,19.360
S10008,45.528788,-73.692164,70045,19.378
S10008,45.528815,-73.691934,70046,19.396
S10008,45.528838,-73.691703,70047,19.414
S10008,45.528855,-73.691470,70048,19.433
S10008,45.528868,-73.691239,70049,19.451
S10008,45.528875,-73.691079,70050,19.463
S10008,45.528880,-73.690919,70051,19.476
S10008,45.528899,-73.690270,70052,19.526
S10008,45.528899,-73.690270,80001,19.526
